epoch,accuracy,loss
0,0.9526420831680298,0.14390960335731506
0,0.9531405568122864,0.14409008622169495
0,0.9531405568122864,0.14416764676570892
0,0.9531405568122864,0.1441057324409485
0,0.9526420831680298,0.14496567845344543
0,0.9521435499191284,0.14479541778564453
0,0.9526420831680298,0.14367583394050598
0,0.9526420831680298,0.14368271827697754
0,0.9521435499191284,0.14479689300060272
0,0.9526420831680298,0.1437845230102539
0,0.9526420831680298,0.1448378562927246
0,0.9526420831680298,0.14486195147037506
0,0.9531405568122864,0.14372359216213226
0,0.9531405568122864,0.14376501739025116
0,0.9526420831680298,0.14489442110061646
